text,label
"Not an American, but from an outsiders perspective is there any other sporting event that has such nationwide support as the world cup? Olympics maybe? It's great to see people in Kansas City and Rhode Island supporting the same team.",fandom_inquiry
This happens anytime an American team or athlete starts to gather momentum. Hockey wasn't to this height but that run had a ton of backing.,hot_take
"I would guess the Olympics are generally more popular, but this is a nationwide event here this year so it’s hard to compare.",hot_take
Is anybody willing to admit that the last handful of years have been wasted by completely ridiculous managers that have do idea what they are doing?,hot_take
No. The last few years has given this pool an edge and reminded them they couldn't sleep walk through matches. It was needed.,hot_take
Man it’s going to be so nice to not stress about the next game. Might even watch Australia vs. Paraguay instead since that should be very entertaining.,hype_and_vibes
I doubt it. I think both park the bus to play for a draw. Both advance.,tactical_analysis
We gotta stay sharp though. Use the next couple of games to try out some stuff make sure pulisic is 100 percent and be ready. I dont like the new format bc there feels like there is so much filler. For every cape verde stunner there 5 teams that het belt to ass bc they arent wc quality,tactical_analysis
1st half will probably be a dress rehearsal for knockout stages. Sub all the injured/yellos out in the 2ns,tactical_analysis
Yeah its refreshing to have one game where its world cup but no stress at all. Just go out and have fun.,hype_and_vibes
Why are all the us games on the west coast? Same thing happened in 1994 save Detroit. Makes no sense at all when most of the population lives on the east cost,fandom_inquiry
"It makes perfect sense bc of the weather and not having to travel as much for the players. Remember, it's better to do what's best for them not us.",tactical_analysis
Might be trying to have decent times for our opponents,hot_take
It could be random. However when you think about the teams playing on the east coast a lot of them have tons of immigrants in NJ/NY and FL. So many Ecuadorians live there for example. I think a game in Atlanta would’ve been nice for us. We just have to advance far enough so we can play in more cities.,hot_take
It's not random at all. We purposely picked those locations to save on travel.,tactical_analysis
YEAH YOU CAN TELL EVERYBODY YEAH YOU CAN TELL EVERYBODYYYYYY GO AHEAD AND TELL EVERYBODY I’M THE MAN I’M THE MAN I’M THE MANNNNN YES I AM YES I AM YES I AMMMM,hype_and_vibes
"So, imo no need to play Puli or anyone on a yellow. Adams, A Rob, Balogun, and Richards.",tactical_analysis
"Wipes after the group stage, no?",fandom_inquiry
A suspension doesn’t,fandom_inquiry
Turkey had 62 shots and 0 goals. We were supposed to be afraid of these guys.,hot_take
I mean they’ll probably score on us since we’ll have a random lineup. And Turkey can go home feeling good.,tactical_analysis
Almost bought tickets to the D2 knockout match but I figured we would win the group so im glad I did not. Our group is kinda weak.,hot_take
I love when r/soccer gets their first dose of CONCACAF refs with out us involved and they absolutely cannot handle it.,hype_and_vibes
By god thats Haji's music,hype_and_vibes
Rotate every single player aside from Freese and don’t even think about subbing in anyone on a yellow card,tactical_analysis
Both Paraguay and Australia opened there games against us with an own goal and then kept clean sheets against Turkey.,tactical_analysis
the Paraguay v. Australia match is going to be CINEMA.,hype_and_vibes
YOU’LL NEVER SING THAT YOU’LL NEVER SING THAT GROUP D CHAMPIONS YOU’LL NEVER SING THAT,hype_and_vibes
THANK YOU PARAGUAY,hype_and_vibes
Hahahahahahah god Türkiye were so shit,hype_and_vibes
Hell yeah paraguay,hype_and_vibes
TOP OF THE GROUP 🇺🇸🇺🇸,hype_and_vibes
Where are all the “we’re not making it out of the group” idiots now? Show yourselves!!!,hype_and_vibes
Turkey with an impressive 61 shots this World Cup and zero goals.,tactical_analysis
WE DID IT!!! WE WON THE GROUP!!!!!!,hype_and_vibes
lmao,hype_and_vibes
"after that last turkiye header inches away from the goal, i just started laughing hahaha",hype_and_vibes
A few brutal misses down the stretch here yikes,hype_and_vibes
"Paraguay went from 17% possession in the first half to 25% by the end of the game. That means they had about 33% in the second half, nearly doubling their possession after going down to 10 men.",tactical_analysis
What people thought we were - Türkiye is,hot_take
They remind me a bit of Canada in WC22. Lots of possession. A decent amount of attacks but not clinical enough.,tactical_analysis
What are the new rules about when you have to leave the field? Is it if you receive treatment? Should they count other players stretching you in this? I think so.,fandom_inquiry
paraguay is honorary concacaf. they don't even actually play this sport.,hot_take
It helped that they had a CONCACAF ref,hot_take
A fucking masterclass in “gamesmanship”,hype_and_vibes
Caceres played well today. Redeemed himself after Pulisic completely undressed him last week.,tactical_analysis
turkey is ass,hot_take
this game is disgraceful. just trash soccer on both ends.,hot_take
Lmao! Meet Ivan Barton.,hype_and_vibes
God I hate him so much. So many games he's reffed for us have turned into shit shows.,hot_take
Paraguay shithousing this to a win?,hype_and_vibes
This game has slowed down to CONCACAF speed,hot_take
"Regarding the Prestianni rule, I feel like it's a massive overreaction to the Benfica Madrid mess and should be a yellow instead. It'll encourage players against doing it, but it's still instinct for most players to cover their mouths while talking on the pitch.",tactical_analysis
There have been like 30 games already and this hasn't even been an issue though.,hot_take
"I'm not sure a red card really hurts Paraguay that much. They're parking the bus anyway, and Turkey has not been good at link up play.",tactical_analysis
Yeah maybe this ties but beyond that I dont see the US not winning the group by the end of this match.,hot_take
"Can someone confirm-- Turkey tie means their match with us matters to them, but not to us, so they have may have a better shot at winning vs our reserves? Whereas if they win here, we will play our starters to top the group and they may end on 3 points, possibly out of the KO?",fandom_inquiry
Yes probably,hot_take
How does a Paraguay win or draw here win us the group? Couldn’t Australia win and overcome the goal differential in the final group match?,fandom_inquiry
No we win on head 2 head,tactical_analysis
Head to head takes precedent over goal difference,tactical_analysis
Paraguay refuses to possess the ball.,hot_take
That's part of their strategy.,tactical_analysis
"Same guy who got the yellow for flopping against us. Also, he has a punchable face.",hot_take
"Yep, lil bro got a red card just for covering his face so we didnt have to look at it.",hype_and_vibes
The rule is a drastic overreaction to the benfica thing,hot_take
Calma. Turkey are shit and won’t get 2 goals. Group is already ours,hype_and_vibes
"I’m more worried about turkey playing shithousery and sending us into 32 with red cards, but hopefully Paraguay can hold on and we can totally chill",tactical_analysis
Almiron is such a fucking idiot,hot_take
Uhhhh what is that rule?,fandom_inquiry
"you can't cover your mouth while yapping at the opponent. it's assumed to immediately be abusive speech worthy of a red card (slurs, etc.), so they give you one. all the players knew about this beforehand, soooo",tactical_analysis
What kind of nonsense rule is that?,fandom_inquiry
I guess the mouth covering is about slurs or something? Wonder what he said.,fandom_inquiry
Most likely. The rule is to curb racist/homophobic shit,tactical_analysis
Covering your mouth being a red is ridiculous,hot_take
"I get the reaction, but getting slurs out of the game is good, and less drastic measures didn’t seem to be doing it.",hot_take
